order_number,created_at,created_day,weekday,hour_of_day,month,user_id,user_segment,user_orders_90d,user_spent_90d,user_avg_order_value_90d,user_days_since_last_order,item_count,total_quantity,subtotal,tax,shipping_fee,discount_amount,total_amount,avg_item_price,payment_method,payment_status,has_voucher,voucher_code,qty_low_cal,qty_balanced,qty_high_protein,qty_vegetarian,current_status,age_hours,label_cancelled,label_delay_risk,label_payment_unpaid
ORD-20260312-026,2026-03-11T07:06:46.612Z,2026-03-11,3,14,3,69b266062929890d1d18ecbd,regular,19,9436076,496636,-7,1,2,279800,22384,25000,27980,299204,279800,momo,paid,1,VEGGIE25,0,0,0,2,delivering,146.86,0,1,0
ORD-20260312-027,2026-03-11T07:06:46.612Z,2026-03-11,3,14,3,69b266062929890d1d18ecc0,regular,12,8211235,684270,-1,2,2,429800,34384,0,0,464184,214900,bank_transfer,paid,0,,1,0,1,0,delivering,146.86,0,1,0
ORD-20260312-028,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecc3,regular,29,18345316,632597,-15,1,2,419800,33584,0,41980,411404,419800,momo,paid,1,HEALTHY20,0,2,0,0,delivering,122.86,0,1,0
ORD-20260312-029,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-6,2,2,409800,32784,0,0,442584,204900,cash,unpaid,0,,0,1,1,0,delivering,122.86,0,1,1
ORD-20260312-030,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecc6,regular,11,7139492,649045,-6,1,2,439800,35184,0,43980,431004,439800,card,paid,1,EATOMO50K,0,2,0,0,delivering,122.86,0,1,0
ORD-20260312-031,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-6,2,2,469800,37584,0,0,507384,234900,card,paid,0,,0,1,1,0,preparing,122.86,0,1,0
ORD-20260312-032,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea58b3f1480a7392482,vip,89,51282842,576212,-6,2,4,549600,43968,0,54960,538608,274800,momo,paid,1,VEGGIE25,0,0,0,4,preparing,122.86,0,1,0
ORD-20260312-033,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266052929890d1d18ecb1,vip,89,58530787,657649,-6,2,3,619700,49576,0,0,669276,309850,cash,paid,0,,0,2,1,0,preparing,122.86,0,1,0
ORD-20260312-034,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecb7,vip,106,64059766,604337,-6,2,3,579700,46376,0,57970,568106,289850,momo,paid,1,PROTEIN10,2,0,1,0,preparing,122.86,0,1,0
ORD-20260312-035,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecba,regular,18,11013022,611835,-4,1,2,359800,28784,0,35980,352604,359800,card,paid,1,FREESHIP,0,2,0,0,preparing,122.86,0,1,0
ORD-20260312-036,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-6,1,2,499800,39984,0,49980,489804,499800,momo,paid,1,FLASH25,0,0,2,0,preparing,122.86,0,1,0
ORD-20260312-037,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecbd,regular,19,9436076,496636,-6,2,3,484700,38776,0,0,523476,242350,cash,unpaid,0,,2,1,0,0,preparing,122.86,0,1,1
ORD-20260312-038,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecc0,regular,12,8211235,684270,0,1,3,539700,43176,0,53970,528906,539700,bank_transfer,paid,1,EATOMO50K,0,3,0,0,preparing,122.86,0,1,0
ORD-20260312-039,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea58b3f1480a739247f,vip,117,66314623,566792,-6,1,2,399800,31984,0,0,431784,399800,momo,paid,0,,0,2,0,0,confirmed,122.86,0,1,0
ORD-20260312-040,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-6,2,2,354800,28384,0,0,383184,177400,cash,unpaid,0,,1,1,0,0,confirmed,122.86,0,1,1
ORD-20260312-041,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecc3,regular,29,18345316,632597,-15,2,2,424800,33984,0,42480,416304,212400,card,paid,1,HEALTHY20,0,1,1,0,confirmed,122.86,0,1,0
ORD-20260312-042,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecc6,regular,11,7139492,649045,-6,2,3,439700,35176,0,0,474876,219850,momo,unpaid,0,,0,0,0,3,confirmed,122.86,0,1,1
ORD-20260312-043,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecb4,vip,85,49600176,583531,-14,1,2,379800,30384,0,37980,372204,379800,cash,paid,1,FREESHIP,0,2,0,0,confirmed,122.86,0,1,0
ORD-20260312-044,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-6,2,2,409800,32784,0,0,442584,204900,momo,unpaid,0,,1,0,1,0,confirmed,122.86,0,1,1
ORD-20260312-045,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-6,2,3,569700,45576,0,0,615276,284850,momo,unpaid,0,,2,0,1,0,pending,122.86,0,1,1
ORD-20260312-046,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b25ea48b3f1480a7392476,vip,150,89643893,597626,-6,2,3,529700,42376,0,52970,519106,264850,card,unpaid,1,FIRSTORDER30,0,2,0,1,pending,122.86,0,1,1
ORD-20260312-047,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266052929890d1d18ecb1,vip,89,58530787,657649,-6,1,2,399800,31984,0,0,431784,399800,bank_transfer,unpaid,0,,0,2,0,0,pending,122.86,0,1,1
ORD-20260312-048,2026-03-12T07:06:46.612Z,2026-03-12,4,14,3,69b266062929890d1d18ecbd,regular,19,9436076,496636,-6,2,2,429800,34384,0,42980,421204,214900,momo,unpaid,1,FLASH25,1,0,1,0,pending,122.86,0,1,1
ORD-20260312-049,2026-03-09T07:06:46.612Z,2026-03-09,1,14,3,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-9,1,1,239900,19192,25000,0,284092,239900,cash,unpaid,0,,0,0,1,0,cancelled,194.86,1,0,1
ORD-20260312-050,2026-03-07T07:06:46.612Z,2026-03-07,6,14,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-11,2,3,514700,41176,0,0,555876,257350,momo,refunded,0,,2,1,0,0,cancelled,242.86,1,0,0
ORD-202501-001,2025-01-02T15:25:00.000Z,2025-01-02,4,22,1,69b2b2982030f4fa2d6fe943,new,7,4051640,578806,-437,3,4,749600,59968,0,0,809568,249867,bank_transfer,paid,0,,1,3,0,0,completed,10530.56,0,0,0
ORD-202501-002,2025-01-13T08:27:54.000Z,2025-01-13,1,15,1,69b2b28d2030f4fa2d6fe81b,new,6,4441956,740326,-442,2,2,469800,37584,0,0,507384,234900,cash,paid,0,,0,1,1,0,completed,10273.51,0,0,0
ORD-202501-003,2025-01-14T01:47:17.000Z,2025-01-14,2,8,1,69b2b2992030f4fa2d6fe95e,new,7,3173872,453410,-428,3,6,1249400,99952,0,0,1349352,416467,momo,paid,0,,2,2,2,0,completed,10256.19,0,0,0
ORD-202501-004,2025-01-18T11:20:25.000Z,2025-01-18,6,18,1,69b2b2982030f4fa2d6fe952,new,5,3851289,770258,-417,2,3,434700,34776,0,0,469476,217350,card,paid,0,,3,0,0,0,completed,10150.64,0,0,0
ORD-202501-005,2025-01-10T12:59:08.000Z,2025-01-10,5,19,1,69b2b29c2030f4fa2d6fe9b1,new,5,2360920,472184,-427,2,3,709700,56776,0,0,766476,354850,cash,paid,0,,0,1,2,0,completed,10340.99,0,0,0
ORD-202501-006,2025-01-05T14:55:00.000Z,2025-01-05,0,21,1,69b266062929890d1d18ecb4,vip,85,49600176,583531,-445,2,4,619600,49568,0,61960,607208,309800,card,paid,1,PROTEIN10,4,0,0,0,completed,10459.06,0,0,0
ORD-202501-007,2025-01-24T03:43:13.000Z,2025-01-24,5,10,1,69b2b29c2030f4fa2d6fe9c3,new,7,2357120,336731,-410,1,1,149900,11992,25000,0,186892,149900,momo,paid,0,,0,0,0,1,completed,10014.26,0,0,0
ORD-202501-008,2025-01-27T09:42:06.000Z,2025-01-27,1,16,1,69b2b29e2030f4fa2d6fe9e7,regular,14,7386912,527637,-414,1,2,299800,23984,25000,0,348784,299800,bank_transfer,paid,0,,0,0,0,2,completed,9936.27,0,0,0
ORD-202501-009,2025-01-26T03:11:34.000Z,2025-01-26,0,10,1,69b2b2982030f4fa2d6fe955,new,10,5125054,512505,-416,2,3,554700,44376,0,0,599076,277350,card,paid,0,,0,3,0,0,completed,9966.78,0,0,0
ORD-202501-010,2025-01-29T11:44:23.000Z,2025-01-29,3,18,1,69b2b29d2030f4fa2d6fe9db,new,5,2294730,458946,-412,1,1,189900,15192,25000,0,230092,189900,cash,paid,0,,0,1,0,0,completed,9886.24,0,0,0
ORD-202501-011,2025-01-12T01:50:35.000Z,2025-01-12,0,8,1,69b2b2972030f4fa2d6fe93a,new,6,3623056,603843,-417,2,4,819600,65568,0,0,885168,409800,cash,paid,0,,2,0,2,0,completed,10304.13,0,0,0
ORD-202501-012,2025-01-04T10:44:02.000Z,2025-01-04,6,17,1,69b2b29c2030f4fa2d6fe9ba,new,7,4195968,599424,-431,3,4,849600,67968,0,0,917568,283200,bank_transfer,paid,0,,0,3,1,0,completed,10487.24,0,0,0
ORD-202501-013,2025-01-07T11:04:24.000Z,2025-01-07,2,18,1,69b2b2932030f4fa2d6fe8c3,new,6,3070918,511820,-425,2,4,779600,62368,0,0,841968,389800,momo,paid,0,,0,0,2,2,completed,10414.9,0,0,0
ORD-202501-014,2025-01-13T04:24:53.000Z,2025-01-13,1,11,1,69b2b28d2030f4fa2d6fe827,new,4,1293392,323348,-423,1,1,239900,19192,25000,0,284092,239900,momo,paid,0,,0,0,1,0,completed,10277.56,0,0,0
ORD-202501-015,2025-01-02T01:57:25.000Z,2025-01-02,4,8,1,69b2b2922030f4fa2d6fe8ae,at_risk,5,2456904,491381,-438,3,5,889500,71160,0,88950,871710,296500,momo,paid,1,EATOMO50K,0,5,0,0,completed,10544.02,0,0,0
ORD-202501-016,2025-01-10T06:23:18.000Z,2025-01-10,5,13,1,69b2b2962030f4fa2d6fe910,new,8,4656316,582040,-432,2,2,389800,31184,0,0,420984,194900,card,paid,0,,0,0,1,1,completed,10347.59,0,0,0
ORD-202501-017,2025-01-12T09:21:32.000Z,2025-01-12,0,16,1,69b2b2992030f4fa2d6fe958,new,7,3715358,530765,-424,2,2,379800,30384,0,0,410184,189900,card,paid,0,,0,0,1,1,completed,10296.62,0,0,0
ORD-202501-018,2025-01-17T01:12:07.000Z,2025-01-17,5,8,1,69b2b2922030f4fa2d6fe8ab,new,9,5024472,558275,-434,1,1,129900,10392,25000,0,165292,129900,cash,paid,0,,0,0,0,1,completed,10184.77,0,0,0
ORD-202501-019,2025-01-30T02:08:17.000Z,2025-01-30,4,9,1,69b2b2912030f4fa2d6fe87b,new,6,2688144,448024,-413,1,1,189900,15192,25000,18990,211102,189900,card,paid,1,FLASH25,0,1,0,0,completed,9871.84,0,0,0
ORD-202501-020,2025-01-24T13:20:34.000Z,2025-01-24,5,20,1,69b2b28e2030f4fa2d6fe839,new,3,947270,315757,-415,2,4,899600,71968,0,0,971568,449800,card,paid,0,,0,2,2,0,completed,10004.63,0,0,0
ORD-202501-021,2025-01-23T10:24:18.000Z,2025-01-23,4,17,1,69b2b29f2030f4fa2d6fea05,new,9,6051836,672426,-432,2,3,684700,54776,0,0,739476,342350,card,paid,0,,1,0,2,0,completed,10031.57,0,0,0
ORD-202501-022,2025-01-13T08:01:56.000Z,2025-01-13,1,15,1,69b2b2962030f4fa2d6fe90d,new,7,3267964,466852,-424,1,1,139900,11192,25000,0,176092,139900,cash,paid,0,,1,0,0,0,completed,10273.94,0,0,0
ORD-202501-023,2025-01-21T11:53:43.000Z,2025-01-21,2,18,1,69b2b2942030f4fa2d6fe8d1,new,5,3033288,606658,-421,1,1,164900,13192,25000,0,203092,164900,card,paid,0,,1,0,0,0,completed,10078.08,0,0,0
ORD-202501-024,2025-01-27T07:11:59.000Z,2025-01-27,1,14,1,69b2b28e2030f4fa2d6fe83c,new,3,1439952,479984,-393,3,5,969500,77560,0,0,1047060,323167,momo,paid,0,,2,1,2,0,completed,9938.78,0,0,0
ORD-202501-025,2025-01-24T03:46:30.000Z,2025-01-24,5,10,1,69b2b2942030f4fa2d6fe8d4,new,7,3621922,517417,-418,1,2,349800,27984,0,0,377784,349800,card,paid,0,,0,2,0,0,completed,10014.2,0,0,0
ORD-202501-026,2025-01-22T15:00:06.000Z,2025-01-22,3,22,1,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-419,2,2,389800,31184,0,0,420984,194900,momo,paid,0,,0,0,1,1,completed,10050.97,0,0,0
ORD-202501-027,2025-01-07T02:42:28.000Z,2025-01-07,2,9,1,69b2b2942030f4fa2d6fe8e0,new,7,3619102,517015,-435,3,4,704600,56368,0,70460,690508,234867,card,paid,1,VEGGIE25,2,2,0,0,completed,10423.27,0,0,0
ORD-202501-028,2025-01-28T03:41:04.000Z,2025-01-28,2,10,1,69b2b28f2030f4fa2d6fe845,new,3,1649548,549849,-380,1,2,439800,35184,0,0,474984,439800,cash,paid,0,,0,0,2,0,completed,9918.29,0,0,0
ORD-202501-029,2025-01-07T07:33:41.000Z,2025-01-07,2,14,1,69b2b29f2030f4fa2d6fea0b,new,2,499194,249597,-429,3,5,974500,77960,0,97450,955010,324833,cash,paid,1,HEALTHY20,0,1,2,2,completed,10418.41,0,0,0
ORD-202501-030,2025-01-21T14:44:42.000Z,2025-01-21,2,21,1,69b2b29e2030f4fa2d6fe9fc,new,3,1171860,390620,-417,3,5,1009500,80760,0,100950,989310,336500,cash,paid,1,PROTEIN10,0,2,2,1,completed,10075.23,0,0,0
ORD-202501-031,2025-01-04T13:13:13.000Z,2025-01-04,6,20,1,69b2b29a2030f4fa2d6fe97c,new,4,2702488,675622,-447,2,4,939600,75168,0,93960,920808,469800,momo,paid,1,WELCOME10,0,2,2,0,completed,10484.76,0,0,0
ORD-202501-032,2025-01-28T04:48:45.000Z,2025-01-28,2,11,1,69b2b29d2030f4fa2d6fe9e1,new,2,1378736,689368,-411,3,4,854600,68368,0,0,922968,284867,momo,paid,0,,1,1,2,0,completed,9917.16,0,0,0
ORD-202501-033,2025-01-03T09:55:06.000Z,2025-01-03,5,16,1,69b266062929890d1d18ecb7,vip,106,64059766,604337,-439,1,2,539800,43184,0,0,582984,539800,card,paid,0,,0,0,2,0,completed,10512.06,0,0,0
ORD-202501-034,2025-01-04T13:02:29.000Z,2025-01-04,6,20,1,69b266062929890d1d18ecba,regular,18,11013022,611835,-436,1,1,139900,11192,25000,0,176092,139900,cash,paid,0,,0,0,0,1,completed,10484.93,0,0,0
ORD-202501-035,2025-01-15T08:03:46.000Z,2025-01-15,3,15,1,69b2b28d2030f4fa2d6fe815,new,7,4090923,584418,-427,3,4,879600,70368,0,0,949968,293200,momo,paid,0,,1,1,2,0,completed,10225.91,0,0,0
ORD-202501-036,2025-01-11T11:17:54.000Z,2025-01-11,6,18,1,69b2b29a2030f4fa2d6fe985,new,5,2079730,415946,-427,3,5,1079500,86360,0,0,1165860,359833,cash,paid,0,,0,3,2,0,completed,10318.68,0,0,0
ORD-202501-037,2025-01-25T14:27:58.000Z,2025-01-25,6,21,1,69b2b2932030f4fa2d6fe8c6,at_risk,13,7182852,552527,-416,3,4,679600,54368,0,0,733968,226533,cash,paid,0,,2,2,0,0,completed,9979.51,0,0,0
ORD-202501-038,2025-01-21T14:34:12.000Z,2025-01-21,2,21,1,69b2b2962030f4fa2d6fe907,new,10,5102520,510252,-420,2,3,639700,51176,0,63970,626906,319850,card,paid,1,FREESHIP,0,2,1,0,completed,10075.41,0,0,0
ORD-202501-039,2025-01-20T02:46:16.000Z,2025-01-20,1,9,1,69b2b2942030f4fa2d6fe8e6,new,3,1700736,566912,-407,1,1,249900,19992,25000,0,294892,249900,card,paid,0,,0,0,1,0,completed,10111.2,0,0,0
ORD-202501-040,2025-01-31T03:54:39.000Z,2025-01-31,5,10,1,69b2b29c2030f4fa2d6fe9c6,new,5,2863088,572618,-367,1,2,459800,36784,0,0,496584,459800,momo,paid,0,,0,0,2,0,completed,9846.07,0,0,0
ORD-202501-041,2025-01-07T04:10:55.000Z,2025-01-07,2,11,1,69b2b29a2030f4fa2d6fe976,new,3,1725336,575112,-420,2,4,999600,79968,0,0,1079568,499800,bank_transfer,paid,0,,0,0,4,0,completed,10421.79,0,0,0
ORD-202501-042,2025-01-30T07:51:55.000Z,2025-01-30,4,14,1,69b2b28e2030f4fa2d6fe839,new,3,947270,315757,-410,3,5,939500,75160,0,93950,920710,313167,cash,paid,1,FREESHIP,3,0,2,0,completed,9866.11,0,0,0
ORD-202501-043,2025-01-13T07:25:40.000Z,2025-01-13,1,14,1,69b2b29e2030f4fa2d6fe9f0,new,4,2405304,601326,-417,2,3,579700,46376,0,0,626076,289850,card,paid,0,,0,3,0,0,completed,10274.55,0,0,0
ORD-202501-044,2025-01-28T09:25:00.000Z,2025-01-28,2,16,1,69b2b29c2030f4fa2d6fe9c6,new,5,2863088,572618,-370,2,3,499700,39976,0,49970,489706,249850,card,paid,1,VEGGIE25,2,1,0,0,completed,9912.56,0,0,0
ORD-202501-045,2025-01-04T03:49:20.000Z,2025-01-04,6,10,1,69b2b2992030f4fa2d6fe96a,new,6,3499800,583300,-435,1,1,149900,11992,25000,14990,171902,149900,momo,paid,1,EATOMO50K,0,0,0,1,completed,10494.15,0,0,0
ORD-202501-046,2025-01-15T04:08:43.000Z,2025-01-15,3,11,1,69b2b2932030f4fa2d6fe8c3,new,6,3070918,511820,-417,3,5,834500,66760,0,83450,817810,278167,card,paid,1,PROTEIN10,2,1,0,2,completed,10229.83,0,0,0
ORD-202502-001,2025-02-22T09:39:45.000Z,2025-02-22,6,16,2,69b2b28e2030f4fa2d6fe833,regular,14,9180030,655716,-403,2,2,279800,22384,25000,0,327184,139900,momo,paid,0,,1,0,0,1,completed,9312.31,0,0,0
ORD-202502-002,2025-02-26T13:43:20.000Z,2025-02-26,3,20,2,69b2b2952030f4fa2d6fe901,new,4,1725828,431457,-384,3,3,534700,42776,0,53470,524006,178233,momo,paid,1,WELCOME10,1,0,1,1,completed,9212.25,0,0,0
ORD-202502-003,2025-02-09T15:25:23.000Z,2025-02-09,0,22,2,69b2b29e2030f4fa2d6fe9e7,regular,14,7386912,527637,-401,1,1,239900,19192,25000,0,284092,239900,card,paid,0,,0,0,1,0,completed,9618.55,0,0,0
ORD-202502-004,2025-02-27T01:15:27.000Z,2025-02-27,4,8,2,69b2b29d2030f4fa2d6fe9cc,new,6,4747224,791204,-384,3,3,649700,51976,0,64970,636706,216567,momo,paid,1,VEGGIE25,0,1,2,0,completed,9200.72,0,0,0
ORD-202502-005,2025-02-14T03:17:01.000Z,2025-02-14,5,10,2,69b2b29c2030f4fa2d6fe9b1,new,5,2360920,472184,-393,1,1,199900,15992,25000,19990,220902,199900,card,paid,1,PROTEIN10,0,1,0,0,completed,9510.69,0,0,0
ORD-202502-006,2025-02-19T12:08:34.000Z,2025-02-19,3,19,2,69b2b2982030f4fa2d6fe946,new,5,2932226,586445,-398,3,4,789600,63168,0,0,852768,263200,card,paid,0,,0,0,2,2,completed,9381.83,0,0,0
ORD-202502-007,2025-02-25T12:17:46.000Z,2025-02-25,2,19,2,69b2b29f2030f4fa2d6fea17,new,6,2187052,364509,-386,2,3,499700,39976,0,49970,489706,249850,cash,paid,1,HEALTHY20,0,2,0,1,completed,9237.68,0,0,0
ORD-202502-008,2025-02-19T04:28:10.000Z,2025-02-19,3,11,2,69b2b28d2030f4fa2d6fe81b,new,6,4441956,740326,-405,1,2,419800,33584,0,0,453384,419800,card,paid,0,,0,2,0,0,completed,9389.51,0,0,0
ORD-202502-009,2025-02-06T09:08:10.000Z,2025-02-06,4,16,2,69b2b29b2030f4fa2d6fe996,new,7,3669866,524267,-402,3,4,729600,58368,0,72960,715008,243200,momo,paid,1,PROTEIN10,1,0,2,1,completed,9696.84,0,0,0
ORD-202502-010,2025-02-16T03:29:12.000Z,2025-02-16,0,10,2,69b2b29b2030f4fa2d6fe99c,new,4,1589044,397261,-395,3,5,1099500,87960,0,0,1187460,366500,momo,paid,0,,0,2,3,0,completed,9462.49,0,0,0
ORD-202502-011,2025-02-27T10:26:12.000Z,2025-02-27,4,17,2,69b2b29a2030f4fa2d6fe97f,new,7,3544240,506320,-372,3,5,989500,79160,0,0,1068660,329833,card,paid,0,,0,1,2,2,completed,9191.54,0,0,0
